Net Name,Trace Name,Diff Impedance (Ohm),Length (mil), Trace Delay (ps), (x;y)Location-(mil),Layer
,Trace5388::DDR_UDQS_P / Trace15255::DDR_UDQS_N,88.6,8.000,1.3,(4609.531;3396.350),Signal$TOP / Signal$TOP
,Trace5389::DDR_UDQS_P / Trace15256::DDR_UDQS_N,88.6,7.074,1.1,(4596.665;3391.215),Signal$TOP / Signal$TOP
,Trace5390::DDR_UDQS_P / Trace15257::DDR_UDQS_N,88.6,21.260,3.4,(4591.531;3371.720),Signal$TOP / Signal$TOP
,Trace5391::DDR_UDQS_P / Trace15258::DDR_UDQS_N,88.6,6.704,1.1,(4596.535;3352.354),Signal$TOP / Signal$TOP
,Trace5392::DDR_UDQS_P / Trace15259::DDR_UDQS_N,88.6,2.260,0.4,(4606.402;3347.350),Signal$TOP / Signal$TOP
,Trace5393::DDR_UDQS_P / Trace15260::DDR_UDQS_N,88.6,5.657,0.9,(4609.531;3345.350),Signal$TOP / Signal$TOP
,Trace5394::DDR_UDQS_P / Trace15261::DDR_UDQS_N,88.6,39.610,6.3,(4611.531;3323.545),Signal$TOP / Signal$TOP
,Trace5395::DDR_UDQS_P / Trace15262::DDR_UDQS_N,88.6,41.989,6.7,(4629.224;3282.618),Signal$TOP / Signal$TOP
,Trace5396::DDR_UDQS_P / Trace15263::DDR_UDQS_N,88.6,274.280,43.8,(4787.659;3265.350),Signal$TOP / Signal$TOP
,Trace5397::DDR_UDQS_P / Trace15264::DDR_UDQS_N,88.6,54.258,8.7,(4943.982;3246.167),Signal$TOP / Signal$TOP
,Trace5398::DDR_UDQS_P / Trace15265::DDR_UDQS_N,88.6,126.268,20.2,(5032.665;3224.350),Signal$TOP / Signal$TOP
,Trace5399::DDR_UDQS_P / Trace15266::DDR_UDQS_N,88.6,37.802,6.0,(5109.165;3210.986),Signal$TOP / Signal$TOP
,Trace5400::DDR_UDQS_P / Trace15267::DDR_UDQS_N,88.6,1.551,0.2,(5122.531;3196.846),Signal$TOP / Signal$TOP
,Total,,1661.678,265.5
